2000, 8.820295983086682, 1, mean, Highlands
2000, 8.911205073995772, 1, u.hl, Highlands
2000, 8.730443974630022, 1, l.hl, Highlands
2001, 8.640591966173362, 0, mean, Highlands
2001, 8.700845665961946, 0, u.hl, Highlands
2001, 8.58139534883721, 0, l.hl, Highlands
2002, 8.651162790697676, 2, mean, Highlands
2002, 8.809725158562369, 3, u.hl, Highlands
2002, 8.490486257928119, 3, l.hl, Highlands
2004, 8.490486257928119, 3, mean, Highlands
2004, 8.570824524312897, 4, u.hl, Highlands
2004, 8.41014799154334, 4, l.hl, Highlands
2000, 8.469344608879492, 0, mean, Lowlands
2000, 8.560253699788584, 0, u.sm, Lowlands
2000, 8.380549682875264, 0, l.sm, Lowlands
2001, 8.219873150105709, 1, mean, Lowlands
2001, 8.281183932346723, 1, u.sm, Lowlands
2001, 8.162790697674419, 1, l.sm, Lowlands
2002, 8.44186046511628, 2, mean, Lowlands
2002, 8.509513742071881, 2, u.sm, Lowlands
2002, 8.372093023255815, 2, l.sm, Lowlands
2004, 8.239957716701904, 3, mean, Lowlands
2004, 8.340380549682875, 3, u.sm, Lowlands
2004, 8.140591966173362, 3, l.sm, Lowlands
