"ID","lat","lon"
1,-0.689586382359266,-90.2214633766561
2,-0.689887292683125,-90.2218904346227
3,-0.689363507553935,-90.2213065512478
4,-0.689109619706869,-90.2219325117766
5,-0.689185978844762,-90.2217190247029
6,-0.687099974602461,-90.2203166484832
7,-0.686916662380099,-90.221283333376
8,-0.686733350157738,-90.2207333128899
9,-0.69033857434988,-90.2234798949211
10,-0.690316697582603,-90.2230166271328
11,-0.690316697582603,-90.2230166271328
12,-0.690557342022657,-90.2236303500831
13,-0.690213181078434,-90.22361157462
14,-0.690141599625349,-90.2232122607529
15,-0.686163967475295,-90.2217910252511
16,-0.686205038800836,-90.2215349581092
17,-0.686598988249898,-90.2219409774988
18,-0.686484994366765,-90.2217129897326
19,-0.688089039176702,-90.2215559966862
20,-0.689025968313217,-90.2212389931082
21,-0.687659801915288,-90.2211308665573
22,-0.686178719624877,-90.2229379210621
23,-0.689791571348906,-90.2225601486861
24,-0.685747973620892,-90.2209799084812
25,-0.685966657474637,-90.2232332993298
26,-0.685884011909366,-90.2235583495348
27,-0.685973027721047,-90.2232329640537
28,-0.686531011015177,-90.2243399620056
29,-0.686340993270278,-90.2243090327829
30,-0.685940003022552,-90.2238699886947
31,-0.685983337461948,-90.2215166855603
32,-0.68602298386395,-90.2212209720164
33,-0.685775969177485,-90.2212900388985
34,-0.685901027172804,-90.2207779884338
35,-0.685605984181166,-90.2209649886935
36,-0.686647687107325,-90.2218400593847
37,-0.686933342367411,-90.2218999899923
38,-0.686666378751397,-90.2215782087296
39,-0.68645004183054,-90.2214000094681
